
- Member No ---  Date ---  Active ?  

    84394      2019-1-22    no          
    77768      2016-11-14   no          
    30746      2015-6-21    no          
    46218      2020-3-17    no          
    91188      2016-7-1     no          
    24125      2016-6-1     no          
    29283      2020-7-19    no          
    17185      2019-4-13    no          
    80031      2016-9-23    no          
    45969      2020-5-10    no          
    57049      2016-11-9    no          
    10202      2015-3-17    no          
    71882      2020-2-8     no          
    34412      2017-12-5    no          
    78808      2018-12-25   no          
    86076      2017-3-18    no          
    28001      2020-9-22    no          
    51736      2018-7-20    no          
    76155      2018-6-13    no          
    19106      2017-3-3     no          
    89805      2017-11-24   no          
    82326      2020-11-12   no          
    86363      2017-7-3     no          
    97118      2015-7-22    no          
    52154      2018-12-21   no          
    57802      2020-6-15    no          
    32924      2019-9-20    no          
    53042      2017-12-8    no          
    90568      2017-3-5     no          
    68245      2016-9-19    no          
    17951      2015-6-20    no          
    66121      2016-3-9     no          
    91667      2018-2-13    no          
    38373      2018-3-23    no          
    48141      2018-8-20    no          
    47645      2019-4-3     no          
    52375      2015-6-9     no          
    53813      2018-1-2     no          
    30161      2018-8-3     no          
    25195      2019-2-14    no          
    90042      2015-3-3     no          
    60087      2020-7-24    no          
    58923      2015-8-18    no          
    51624      2016-12-14   no          
    34947      2016-3-18    no          
    87902      2015-9-12    no          
    14054      2017-12-12   no          
    97502      2018-7-1     no          
    91536      2015-6-25    no          
    54024      2018-3-7     no          
    97409      2015-2-12    no          
    97706      2019-12-9    no          
    80554      2016-1-18    no          
