
- Member No ---  Date ---  Active ?  

    64444      2017-5-23    yes         
    36926      2018-7-23    yes         
    19710      2016-1-1     yes         
    74615      2018-8-1     yes         
    21024      2020-8-18    yes         
    57180      2018-5-5     yes         
    72930      2018-6-20    yes         
    58980      2020-3-16    yes         
    86227      2017-6-19    yes         
    90771      2020-11-20   yes         
    66171      2016-9-24    yes         
    25859      2015-4-8     yes         
    66801      2016-6-8     yes         
    44695      2018-6-10    yes         
    46631      2019-7-17    yes         
    10017      2019-8-5     yes         
    16780      2018-1-2     yes         
    83113      2017-7-16    yes         
    59331      2017-1-16    yes         
    14534      2015-1-12    yes         
    67752      2020-9-9     yes         
    94864      2015-8-23    yes         
    96566      2017-7-19    yes         
    75685      2019-4-4     yes         
    18782      2016-4-12    yes         
    12571      2020-2-18    yes         
    63931      2019-6-20    yes         
    48772      2018-2-11    yes         
    59337      2017-12-15   yes         
    69294      2018-8-19    yes         
    50306      2015-12-16   yes         
    53529      2015-6-15    yes         
    49458      2015-1-14    yes         
    72701      2020-7-18    yes         
    76610      2019-6-23    yes         
    15861      2015-12-16   yes         
    56486      2017-11-25   yes         
    20876      2016-2-7     yes         
    21928      2020-6-2     yes         
    63460      2018-5-24    yes         
    90594      2017-6-6     yes         
    25735      2015-7-13    yes         
    59491      2019-4-2     yes         
    60797      2016-2-2     yes         
    80322      2016-11-11   yes         
    32884      2019-2-12    yes         
    71537      2020-12-14   yes         
    86250      2019-10-7    yes         
    98120      2020-6-8     yes         
    13791      2016-8-13    yes         
