
- Member No ---  Date ---  Active ?  

    83339      2019-7-14    no          
    20304      2017-1-11    no          
    71048      2016-4-19    no          
    92760      2019-8-3     no          
    77840      2018-4-16    no          
    62256      2019-7-10    no          
    89544      2017-4-12    no          
    99166      2020-2-11    no          
    56712      2017-8-9     no          
    33589      2018-9-2     no          
    66918      2016-11-11   no          
    95682      2020-11-6    no          
    89132      2019-1-17    no          
    76386      2015-5-2     no          
    57859      2016-11-14   no          
    77809      2017-3-25    no          
    68039      2019-11-19   no          
    74402      2017-5-5     no          
    87790      2015-10-5    no          
    55027      2016-6-20    no          
    25880      2015-10-3    no          
    14818      2019-6-20    no          
    53290      2019-8-2     no          
    57420      2017-6-21    no          
    55850      2017-2-24    no          
    44654      2020-1-10    no          
    59578      2018-12-13   no          
    56473      2019-1-19    no          
    75496      2019-11-4    no          
    56437      2018-9-4     no          
    57517      2016-7-17    no          
    39067      2017-7-23    no          
    65781      2020-2-15    no          
    48278      2015-3-13    no          
    42270      2019-8-12    no          
    33961      2020-7-10    no          
    59245      2018-10-3    no          
    32704      2015-7-15    no          
    52852      2015-9-25    no          
    48557      2020-10-19   no          
    55221      2017-3-8     no          
    90932      2017-12-9    no          
    24994      2019-3-25    no          
    15644      2018-8-9     no          
    39846      2020-1-18    no          
    28802      2020-9-19    no          
    38927      2016-6-22    no          
    31737      2018-12-14   no          
    53991      2018-1-14    no          
