
- Member No ---  Date ---  Active ?  

    80341      2015-12-24   yes         
    28413      2018-6-23    yes         
    16703      2018-10-7    yes         
    23136      2017-8-12    yes         
    30986      2019-3-19    yes         
    14195      2020-7-9     yes         
    37741      2019-12-9    yes         
    31005      2016-7-14    yes         
    38582      2017-1-13    yes         
    70590      2015-12-21   yes         
    83270      2015-1-21    yes         
    80478      2018-6-17    yes         
    29138      2020-11-21   yes         
    35959      2015-2-5     yes         
    97416      2020-9-10    yes         
    92782      2018-12-21   yes         
    93239      2017-1-14    yes         
    57276      2020-5-19    yes         
    80032      2019-3-6     yes         
    31061      2016-11-12   yes         
    73307      2017-9-13    yes         
    59659      2016-12-18   yes         
    25125      2019-2-17    yes         
    58892      2019-12-2    yes         
    99691      2015-7-5     yes         
    98758      2019-9-25    yes         
    30799      2019-2-5     yes         
    78351      2015-6-6     yes         
    92238      2016-2-7     yes         
    81819      2020-6-17    yes         
    78363      2018-9-4     yes         
    20037      2015-4-23    yes         
    48683      2020-2-20    yes         
    46252      2019-3-5     yes         
    76285      2019-11-7    yes         
    10903      2016-4-11    yes         
    12460      2019-6-17    yes         
    51633      2017-10-7    yes         
    87355      2017-9-19    yes         
    35395      2018-8-2     yes         
    27752      2020-11-21   yes         
    85919      2020-10-21   yes         
    56116      2016-10-18   yes         
    74896      2019-8-24    yes         
    65562      2020-12-1    yes         
    63419      2016-4-21    yes         
    61782      2019-10-3    yes         
    12187      2015-8-22    yes         
    87981      2016-8-15    yes         
    87792      2017-2-25    yes         
    74433      2015-8-20    yes         
    80020      2015-8-3     yes         
    64771      2015-8-23    yes         
    69969      2019-3-21    yes         
